iter	Passed	Remaining
962	29353	13929
963	29385	13900
964	29414	13868
965	29443	13837
966	29473	13806
967	29503	13776
968	29535	13746
969	29566	13716
970	29598	13686
971	29629	13656
972	29659	13625
973	29689	13595
974	29722	13565
975	29753	13535
976	29782	13504
977	29814	13474
978	29845	13444
979	29874	13413
980	29905	13382
981	29942	13355
982	29971	13324
983	30001	13293
984	30033	13263
985	30062	13232
986	30090	13200
987	30119	13169
988	30148	13138
989	30176	13106
990	30206	13076
991	30234	13044
992	30263	13013
993	30295	12983
994	30325	12952
995	30354	12921
996	30386	12892
997	30416	12861
998	30448	12831
999	30477	12800
1000	30506	12769
1001	30535	12738
1002	30564	12707
1003	30593	12676
1004	30622	12645
1005	30653	12615
1006	30683	12584
1007	30716	12554
1008	30747	12524
1009	30776	12493
1010	30805	12462
1011	30836	12431
1012	30867	12401
1013	30896	12370
1014	30928	12340
1015	30956	12309
1016	30985	12278
1017	31018	12248
1018	31047	12217
1019	31076	12186
1020	31110	12157
1021	31140	12127
1022	31170	12096
1023	31202	12066
1024	31232	12035
1025	31261	12004
1026	31292	11974
1027	31321	11943
1028	31352	11913
1029	31385	11883
1030	31413	11852
1031	31443	11821
1032	31473	11791
1033	31501	11759
1034	31532	11729
1035	31563	11699
1036	31595	11669
1037	31626	11638
1038	31656	11608
1039	31687	11578
1040	31716	11547
1041	31749	11517
1042	31778	11486
1043	31811	11456
1044	31844	11427
1045	31875	11397
1046	31906	11366
1047	31937	11336
1048	31967	11305
1049	31997	11275
1050	32027	11244
1051	32059	11214
1052	32089	11184
1053	32120	11153
1054	32152	11123
1055	32182	11093
1056	32213	11063
1057	32242	11031
1058	32271	11001
1059	32301	10970
1060	32331	10939
1061	32362	10909
1062	32396	10880
1063	32427	10849
1064	32455	10818
1065	32485	10787
1066	32516	10757
1067	32556	10730
1068	32589	10700
1069	32619	10670
1070	32650	10639
1071	32683	10609
1072	32713	10579
1073	32743	10548
1074	32774	10518
1075	32803	10487
1076	32833	10456
1077	32865	10426
1078	32896	10396
1079	32927	10366
1080	32956	10335
1081	32985	10304
1082	33016	10273
1083	33046	10243
1084	33075	10212
1085	33106	10181
1086	33139	10152
1087	33167	10121
1088	33198	10090
1089	33228	10060
1090	33258	10029
1091	33287	9998
1092	33319	9968
1093	33349	9937
1094	33379	9907
1095	33413	9877
1096	33441	9846
1097	33471	9815
1098	33501	9785
1099	33532	9754
1100	33560	9723
1101	33591	9693
1102	33620	9662
1103	33649	9631
1104	33681	9601
1105	33711	9570
1106	33741	9540
1107	33770	9509
1108	33801	9479
1109	33832	9448
1110	33862	9418
1111	33894	9388
1112	33925	9357
1113	33956	9327
1114	34006	9302
1115	34040	9272
1116	34073	9242
1117	34106	9213
1118	34136	9182
1119	34168	9152
1120	34198	9121
1121	34228	9091
1122	34259	9060
1123	34289	9029
1124	34320	8999
1125	34351	8969
1126	34380	8938
1127	34411	8907
1128	34442	8877
1129	34472	8847
1130	34502	8816
1131	34532	8785
1132	34562	8755
1133	34593	8724
1134	34623	8694
1135	34652	8663
1136	34683	8632
1137	34714	8602
1138	34744	8571
1139	34775	8541
1140	34804	8510
1141	34835	8480
1142	34866	8449
1143	34896	8419
1144	34926	8388
1145	34956	8357
1146	34988	8327
1147	35018	8297
1148	35049	8266
1149	35081	8236
1150	35110	8205
1151	35140	8175
1152	35171	8144
1153	35202	8114
1154	35230	8083
1155	35261	8052
1156	35291	8022
1157	35320	7991
1158	35353	7961
1159	35385	7931
1160	35414	7900
1161	35447	7870
1162	35477	7839
1163	35505	7808
1164	35535	7778
1165	35566	7747
1166	35596	7717
1167	35626	7686
1168	35656	7656
1169	35687	7625
1170	35718	7595
1171	35749	7564
1172	35777	7533
1173	35810	7503
1174	35842	7473
1175	35873	7443
1176	35902	7412
1177	35934	7382
1178	35964	7351
1179	35993	7320
1180	36023	7290
1181	36053	7259
1182	36085	7229
1183	36115	7198
1184	36148	7168
1185	36179	7138
1186	36210	7107
1187	36239	7077
1188	36272	7047
1189	36302	7016
1190	36331	6985
1191	36362	6955
1192	36390	6924
1193	36419	6893
1194	36450	6863
1195	36479	6832
1196	36507	6801
1197	36538	6770
1198	36567	6740
1199	36599	6709
1200	36630	6679
1201	36661	6649
1202	36692	6618
1203	36720	6587
1204	36750	6557
1205	36780	6526
1206	36812	6496
1207	36842	6465
1208	36871	6435
1209	36902	6404
1210	36931	6373
1211	36959	6342
1212	36991	6312
1213	37022	6282
1214	37051	6251
1215	37080	6220
1216	37110	6190
1217	37140	6159
1218	37172	6129
1219	37202	6098
1220	37230	6067
1221	37261	6037
1222	37292	6006
1223	37320	5976
1224	37353	5946
1225	37383	5915
1226	37411	5884
1227	37442	5854
1228	37472	5823
1229	37502	5793
1230	37533	5762
1231	37564	5732
1232	37595	5701
1233	37627	5671
1234	37656	5640
1235	37687	5610
1236	37717	5579
1237	37747	5549
1238	37776	5518
1239	37807	5488
1240	37837	5457
1241	37868	5427
1242	37898	5396
1243	37928	5366
1244	37958	5335
1245	37988	5304
1246	38018	5274
1247	38049	5243
1248	38080	5213
1249	38110	5183
1250	38140	5152
1251	38172	5122
1252	38203	5091
1253	38235	5061
1254	38266	5031
1255	38295	5000
1256	38324	4969
1257	38358	4939
1258	38388	4909
1259	38416	4878
1260	38446	4847
1261	38476	4817
1262	38508	4786
1263	38538	4756
1264	38568	4725
1265	38599	4695
1266	38630	4664
1267	38660	4634
1268	38691	4603
1269	38720	4573
1270	38748	4542
1271	38780	4512
1272	38813	4481
1273	38843	4451
1274	38872	4420
1275	38903	4390
1276	38936	4360
1277	38967	4329
1278	38998	4299
1279	39028	4268
1280	39057	4238
1281	39088	4207
1282	39118	4177
1283	39148	4146
1284	39179	4116
1285	39208	4085
1286	39238	4054
1287	39269	4024
1288	39300	3994
1289	39328	3963
1290	39359	3932
1291	39388	3902
1292	39417	3871
1293	39449	3841
1294	39478	3810
1295	39510	3780
1296	39541	3749
1297	39574	3719
1298	39603	3689
1299	39634	3658
1300	39666	3628
1301	39695	3597
1302	39727	3567
1303	39757	3536
1304	39793	3506
1305	39825	3476
1306	39857	3445
1307	39886	3415
1308	39914	3384
1309	39945	3354
1310	39976	3323
1311	40006	3293
1312	40037	3262
1313	40067	3232
1314	40099	3201
1315	40132	3171
1316	40161	3140
1317	40193	3110
1318	40225	3080
1319	40255	3049
1320	40286	3019
1321	40316	2988
1322	40345	2958
1323	40376	2927
1324	40407	2897
1325	40438	2866
1326	40469	2836
1327	40498	2805
1328	40526	2774
1329	40558	2744
1330	40588	2714
1331	40623	2683
1332	40654	2653
1333	40685	2622
1334	40714	2592
1335	40743	2561
1336	40772	2531
1337	40803	2500
1338	40834	2470
1339	40865	2439
1340	40894	2409
1341	40924	2378
1342	40952	2348
1343	40983	2317
1344	41014	2287
1345	41043	2256
1346	41073	2225
1347	41106	2195
1348	41136	2165
1349	41168	2134
1350	41201	2104
1351	41230	2073
1352	41259	2043
1353	41289	2012
1354	41320	1982
1355	41351	1951
1356	41383	1921
1357	41414	1890
1358	41443	1860
1359	41474	1829
1360	41505	1799
1361	41538	1768
1362	41569	1738
1363	41601	1707
1364	41641	1677
1365	41671	1647
1366	41701	1616
1367	41731	1586
1368	41761	1555
1369	41790	1525
1370	41819	1494
1371	41857	1464
1372	41887	1433
1373	41917	1403
1374	41947	1372
1375	41979	1342
1376	42010	1311
1377	42040	1281
1378	42070	1250
1379	42104	1220
1380	42134	1189
1381	42166	1159
1382	42196	1128
1383	42228	1098
1384	42258	1067
1385	42288	1037
1386	42318	1006
1387	42349	976
1388	42379	945
1389	42412	915
1390	42441	884
1391	42471	854
1392	42505	823
1393	42534	793
1394	42563	762
1395	42596	732
1396	42625	701
1397	42655	671
1398	42686	640
1399	42717	610
1400	42747	579
1401	42777	549
1402	42807	518
1403	42838	488
1404	42869	457
1405	42899	427
1406	42928	396
1407	42960	366
1408	42989	335
1409	43020	305
1410	43051	274
1411	43080	244
1412	43112	213
1413	43142	183
1414	43171	152
1415	43202	122
1416	43234	91
1417	43266	61
1418	43295	30
1419	43324	0
